,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,Video publish time,duration_converted,duration_converted_t,Avg_duration_sec,Engagement_ratio,view/subs_count
0,DjxFTs4ZuU8,MySirG.com,Meet My Teacher | Teacher's Day Special | @UCd-HN6ZBWIFJdG6KSLATd6g,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-05T16:20:20Z,9883,549,,40,PT1H10M15S,hd,False,2022-09-05,2022-09-12 01:10:15,01:10:15,4215,0.05959728827279166,0.01529876160990712
1,uJesWe403HM,MySirG.com,Teacher's Day Special Announcement | Offers | Neuro Labs | New Batch,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-05T14:48:33Z,7439,454,,38,PT54M20S,hd,False,2022-09-05,2022-09-12 00:54:20,00:54:20,3260,0.06613792176367791,0.011515479876160991
2,PPRlWvX3f9Y,MySirG.com,Best Programming Course in Hindi,"Course Link: https://bit.ly/3Ko1Jek

Use Coupon code SAURABH30 and get 30% discount on all the courses. This is limited time offer

Feedback of students - see comment on: https://youtu.be/zVB2ZR6RpzM

Other courses:
Job Ready Bootcamp: https://bit.ly/3aEQJvp
Full Stack Web development using Python: https://bit.ly/3IwsvAj
Website: http://saurabhshuklaclasses.com/batches
https://ineuron.ai


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-09-04T14:27:07Z,13882,1125,,230,PT8M3S,hd,False,2022-09-04,2022-09-12 00:08:03,00:08:03,483,0.09760841377323153,0.021489164086687308
3,mLvdnHKY220,MySirG.com,Tum kaun ho?,,,2022-08-27T01:42:59Z,8504,598,,42,PT13S,hd,False,2022-08-27,2022-09-12 00:00:13,00:00:13,13,0.07525870178739416,0.013164086687306502
4,5mbQuIr6f8o,MySirG.com,Number Shifting Game Project in C,"Full course of C++ language : https://bit.ly/3aEQJvp

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE",,2022-08-21T06:25:33Z,11734,575,,36,PT59M40S,hd,False,2022-08-21,2022-09-12 00:59:40,00:59:40,3580,0.052070905062212375,0.018164086687306503
5,PTlNfIaSGus,MySirG.com,Introduction to C++ and OOP (Bootcamp Batch LIVE),"Full course of C++ language : https://bit.ly/3aEQJvp

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE",,2022-08-20T06:45:46Z,17648,902,,68,PT1H54M43S,hd,False,2022-08-20,2022-09-12 01:54:43,01:54:43,6883,0.0549637352674524,0.02731888544891641
6,AwmhL1N8QEE,MySirG.com,MySirG Gift on Independence Day | Jai Hind,"Coupon Code: SAURABH20
Offer valid: 15 Aug 2022 to 21 Aug 2022
Tech Neuron: https://bit.ly/3phXA1Z

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
4) Python LIVE Community Classes Playlist:  https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl 

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-15T16:49:11Z,13079,805,,181,PT34M21S,hd,False,2022-08-15,2022-09-12 00:34:21,00:34:21,2061,0.07538802660753881,0.020246130030959753
7,KFZ3Eftp8lo,MySirG.com,Loops in Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube
Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-12T17:14:37Z,10724,471,,22,PT1H37M41S,hd,False,2022-08-12,2022-09-12 01:37:41,01:37:41,5861,0.04597165236851921,0.01660061919504644
8,qgNnf1GMLxc,MySirG.com,Yeh channel dekha kya?,,"['programming', 'MySirG', 'Saurabhshukla', 'Python', 'C language', 'Teacher', 'FAANG', 'Highes package', 'programming', 'MySirG', 'Saurabhshukla', 'Python', 'C language', 'Teacher', 'FAANG', 'Highes package']",2022-08-12T13:11:05Z,5960,482,,45,PT20S,hd,False,2022-08-12,2022-09-12 00:00:20,00:00:20,20,0.08842281879194631,0.009226006191950464
9,-Po6d6Zm3cE,MySirG.com,Decision Control in Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube

Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Join Python Quiz LIVE at 10:15 PM: https://youtu.be/g2NwMIayaUU

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-11T16:48:29Z,7803,371,,12,PT1H12M1S,hd,False,2022-08-11,2022-09-12 01:12:01,01:12:01,4321,0.04908368576188645,0.012078947368421052
10,2D7uw4ghr88,MySirG.com,"Keywords, Operators and User input in Python | LIVE Community Classes | MySirG","Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube

Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-10T17:48:06Z,11008,545,,16,PT1H12M56S,hd,False,2022-08-10,2022-09-12 01:12:56,01:12:56,4376,0.05096293604651163,0.017040247678018577
11,ppKaxLop79c,MySirG.com,Variables and Types in Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube
Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Join Python Quiz LIVE at 10:15 PM: https://youtu.be/yPwN2v9QLJI

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-09T17:12:26Z,13130,733,,29,PT1H8M25S,hd,False,2022-08-09,2022-09-12 01:08:25,01:08:25,4105,0.058035034272658034,0.020325077399380807
12,MpEldU7Z_Wc,MySirG.com,Introduction to Python | LIVE Community Classes | MySirG,"Python for Beginners by Saurabh Shukla Sir
LIVE classes: 8th Aug 2022 to 12 Aug 2022 | 9 PM YouTube
Python Playlist: https://youtube.com/playlist?list=PL7ersPsTyYt26II5XjrZiRkxW11BaejOl

Join Python Quiz LIVE at 10:15 PM: https://youtu.be/vvfYgN9P3CA

1) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) C Language LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-08T16:58:27Z,26001,1468,,91,PT1H4M6S,hd,False,2022-08-08,2022-09-12 01:04:06,01:04:06,3846,0.0599592323372178,0.04024922600619195
13,QaBLikVYeWI,MySirG.com,Pointers in C Language | Community Classes | LIVE | MySirG,"LIVE Community Classes  | C Language
For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY



Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-05T18:05:44Z,11327,532,,53,PT1H25M5S,hd,False,2022-08-05,2022-09-12 01:25:05,01:25:05,5105,0.0516465083428975,0.01753405572755418
14,0li7LVo0Zfc,MySirG.com,Strings in C Language | Community Classes | LIVE | MySirG,"LIVE Community Classes -
For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY


Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-04T17:45:31Z,9351,492,,17,PT1H45M53S,hd,False,2022-08-04,2022-09-12 01:45:53,01:45:53,6353,0.05443268099668485,0.014475232198142415
15,LBLoa3btyVw,MySirG.com,Arrays in C Language | Community Classes | LIVE | MySirG,"LIVE Community Classes - Assignment Solutions
For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY
Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-03T17:05:54Z,10548,506,,26,PT1H30M51S,hd,False,2022-08-03,2022-09-12 01:30:51,01:30:51,5451,0.05043610163064088,0.016328173374613
16,E8LZZUC_2g0,MySirG.com,Recursion in C Language | Community Classes | LIVE | MySirG,"LIVE Community Classes - Assignment Solutions
For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj

 @Rohit Negi  Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-02T17:11:40Z,10003,625,,37,PT1H36M6S,hd,False,2022-08-02,2022-09-12 01:36:06,01:36:06,5766,0.06618014595621313,0.01548452012383901
17,8yJFzfYMk30,MySirG.com,Functions in C Language | Community Classes | LIVE | MySirG,"LIVE Community Classes 
For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Full Stack Web Dev using Python: https://bit.ly/3IwsvAj

@Rohit Negi Interview Video: https://youtu.be/oHzGUSprgMY

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-08-01T17:06:22Z,13514,680,,42,PT1H31M41S,hd,False,2022-08-01,2022-09-12 01:31:41,01:31:41,5501,0.0534260766612402,0.020919504643962847
18,oHzGUSprgMY,MySirG.com,How @Rohit Negi cracked 2 Crore package? | MySirG Family,"Proud moment for MySirG family. 
मिलिये  @Rohit Negi  से जिन्हें हाल ही में 2 करोड़ का पैकेज मिला है |

Channel Link of Rohit Negi: https://www.youtube.com/channel/UCiTljW6FMHQQhK81MWVGoag

For notes, assignments and Recordings of LIVE classes: https://courses.ineuron.ai/C-language-for-Absolute-Beginners

1) LIVE Community Classes: https://youtube.com/playlist?list=PL7ersPsTyYt3J6qL6DT_NOMv2sRsoK6Qd
2) Job Ready Bootcamp in C++, DSA and IOT: https://bit.ly/3aEQJvp
3) Join Python: https://bit.ly/3IwsvAj

Thanks to Ravindra Kelkar for shoot and Edit

Connect with me
------------------------------
MySirG Instagram-  https://www.instagram.com/mysirg/
My Twitter- https://twitter.com/@sshukla_manit
MySirG Facebook- https://www.facebook.com/mysirg


How to access Free or Paid learning videos?
-----------------------------------------------------------------------
Visit: https://MySirG.com
Visit: https://premium.mysirg.com

How to join online LIVE classes?
---------------------------------------------------
Visit http://saurabhshuklaclasses.com

Competitive Coding 
_________________________________
visit https://coder.mysirg.com
Popular Searches
----------------------------
Python by Saurabh Shukla Sir
Python by Saurabh Sir
Javascript
GUI Python
Web Python
Full Stack development
C Language
C++ Language
Data Structure
PHP-MySQL
DBMS
Java
Android


Like, Comments, Share and SUBSCRIBE","['C-Language', 'JAVA', 'C++', 'Saurabh', 'Shukla', 'Sir', 'mysirg.com', 'mysirg', 'Learn', 'Hindi']",2022-07-29T12:30:17Z,66142,3797,,198,PT19M23S,hd,False,2022-07-29,2022-09-12 00:19:23,00:19:23,1163,0.060400350760485014,0.10238699690402477
